case_id,customer_id,customer_name,invoice_id,case_open_date,amount_due,days_overdue,priority,status,assigned_to,collector_id,collection_strategy,last_action_date,next_action_date,resolution_date,notes
CASE000001,CUST000001,Tata Tech Limited,INV0000003,2025-01-16,226015.08,102,Critical,Escalated,Shalini Gupta,REP000019,Legal Action Warning,2025-03-22,2025-04-29,,
CASE000003,CUST000002,Reliance Tech Limited,INV0000016,2024-12-16,49858.01,133,Critical,In Progress,Rajesh Mishra,REP000029,Legal Action Warning,2025-02-17,2025-04-23,,
CASE000004,CUST000003,Infosys Tech Limited,INV0000023,2025-03-18,701647.33,40,High,In Progress,Shalini Gupta,REP000019,Standard Follow-up,2025-04-04,2025-05-08,,
CASE000005,CUST000005,HDFC Tech Limited,INV0000043,2025-03-28,152714.98,27,Medium,Open,Rani Mishra,REP000034,Standard Follow-up,2025-04-16,2025-04-23,,
CASE000006,CUST000006,Wipro Tech Limited,INV0000051,2025-04-11,419812.25,14,Medium,Open,Rajesh Gupta,REP000009,Standard Follow-up,2025-04-16,2025-05-01,,
CASE000007,CUST000007,Mahindra Tech Limited,INV0000063,2025-01-03,517326.10,110,Critical,In Progress,Sunil Joshi,REP000044,Legal Action Warning,2025-03-23,2025-05-09,,
CASE000008,CUST000008,Birla Tech Limited,INV0000071,2025-04-17,312965.08,11,Medium,Open,Rajesh Mishra,REP000029,Standard Follow-up,2025-04-17,2025-04-30,,
CASE000009,CUST000009,Adani Tech Limited,INV0000082,2025-03-08,176160.14,49,Medium,Open,Vijay Joshi,REP000043,Standard Follow-up,2025-03-27,2025-05-08,,
CASE000010,CUST000009,Adani Tech Limited,INV0000084,2025-02-14,486896.87,75,High,In Progress,Meena Mishra,REP000037,Intensive Collection,2025-03-29,2025-04-26,,
CASE000011,CUST000010,JSW Tech Limited,INV0000091,2025-01-19,83258.93,103,Critical,Escalated,Shalini Mishra,REP000039,Settlement Offer,2025-02-27,2025-04-23,,
CASE000012,CUST000011,Godrej Tech Limited,INV0000102,2025-01-09,226513.77,105,Critical,Pending Customer,Raj Mishra,REP000021,Settlement Offer,2025-03-10,2025-05-08,,
CASE000013,CUST000011,Godrej Tech Limited,INV0000105,2025-01-08,498944.89,113,Critical,Pending Customer,Kavita Gupta,REP000018,Legal Action Warning,2025-03-14,2025-05-07,,
