gl_entry_id,posting_date,document_type,document_number,account_code,account_description,debit,credit,currency,reference,customer_id
GL00000001-1,2025-02-25,Invoice,INV0000001,120000,Accounts Receivable,379207.64,0.00,INR,PO-471556,CUST000001
GL00000001-2,2025-02-25,Invoice,INV0000001,400000,Sales Revenue,0.00,296255.97,INR,PO-471556,CUST000001
GL00000001-3,2025-02-25,Invoice,INV0000001,220000,Sales Tax Payable,0.00,82951.67,INR,PO-471556,CUST000001
GL00010001-1,2025-03-31,Payment,PAY0000001,110000,Bank Account,379207.64,0.00,INR,Payment for INV0000001,CUST000001
GL00010001-2,2025-03-31,Payment,PAY0000001,120000,Accounts Receivable,0.00,379207.64,INR,Payment for INV0000001,CUST000001
GL00000002-1,2024-12-22,Invoice,INV0000002,120000,Accounts Receivable,439658.79,0.00,INR,PO-408777,CUST000001
GL00000002-2,2024-12-22,Invoice,INV0000002,400000,Sales Revenue,0.00,392552.49,INR,PO-408777,CUST000001
GL00000002-3,2024-12-22,Invoice,INV0000002,220000,Sales Tax Payable,0.00,47106.30,INR,PO-408777,CUST000001
GL00010002-1,2025-02-25,Payment,PAY0000002,110000,Bank Account,439658.79,0.00,INR,Payment for INV0000002,CUST000001
GL00010002-2,2025-02-25,Payment,PAY0000002,120000,Accounts Receivable,0.00,439658.79,INR,Payment for INV0000002,CUST000001
GL00000003-1,2024-12-22,Invoice,INV0000003,120000,Accounts Receivable,226015.08,0.00,INR,PO-337153,CUST000001
GL00000003-2,2024-12-22,Invoice,INV0000003,400000,Sales Revenue,0.00,201799.18,INR,PO-337153,CUST000001
GL00000003-3,2024-12-22,Invoice,INV0000003,220000,Sales Tax Payable,0.00,24215.90,INR,PO-337153,CUST000001
GL00000004-1,2025-02-02,Invoice,INV0000004,120000,Accounts Receivable,471111.41,0.00,INR,PO-517744,CUST000001
GL00000004-2,2025-02-02,Invoice,INV0000004,400000,Sales Revenue,0.00,420635.19,INR,PO-517744,CUST000001
GL00000004-3,2025-02-02,Invoice,INV0000004,220000,Sales Tax Payable,0.00,50476.22,INR,PO-517744,CUST000001
GL00010004-1,2025-04-05,Payment,PAY0000004,110000,Bank Account,471111.41,0.00,INR,Payment for INV0000004,CUST000001
GL00010004-2,2025-04-05,Payment,PAY0000004,120000,Accounts Receivable,0.00,471111.41,INR,Payment for INV0000004,CUST000001
GL00000005-1,2024-11-25,Invoice,INV0000005,120000,Accounts Receivable,287763.24,0.00,INR,PO-962934,CUST000001
GL00000005-2,2024-11-25,Invoice,INV0000005,400000,Sales Revenue,0.00,243867.15,INR,PO-962934,CUST000001
GL00000005-3,2024-11-25,Invoice,INV0000005,220000,Sales Tax Payable,0.00,43896.09,INR,PO-962934,CUST000001
GL00010005-1,2025-03-21,Payment,PAY0000005,110000,Bank Account,287763.24,0.00,INR,Payment for INV0000005,CUST000001
GL00010005-2,2025-03-21,Payment,PAY0000005,120000,Accounts Receivable,0.00,287763.24,INR,Payment for INV0000005,CUST000001
GL00000006-1,2025-04-01,Invoice,INV0000006,120000,Accounts Receivable,492917.01,0.00,INR,PO-525966,CUST000001
GL00000006-2,2025-04-01,Invoice,INV0000006,400000,Sales Revenue,0.00,440104.47,INR,PO-525966,CUST000001
GL00000006-3,2025-04-01,Invoice,INV0000006,220000,Sales Tax Payable,0.00,52812.54,INR,PO-525966,CUST000001
GL00010006-1,2025-04-09,Payment,PAY0000006,110000,Bank Account,492917.01,0.00,INR,Payment for INV0000006,CUST000001
GL00010006-2,2025-04-09,Payment,PAY0000006,120000,Accounts Receivable,0.00,492917.01,INR,Payment for INV0000006,CUST000001
GL00000011-1,2025-01-23,Invoice,INV0000011,120000,Accounts Receivable,46966.80,0.00,INR,PO-561076,CUST000002
GL00000011-2,2025-01-23,Invoice,INV0000011,400000,Sales Revenue,0.00,44730.29,INR,PO-561076,CUST000002
GL00000011-3,2025-01-23,Invoice,INV0000011,220000,Sales Tax Payable,0.00,2236.51,INR,PO-561076,CUST000002
GL00010011-1,2025-02-25,Payment,PAY0000011,110000,Bank Account,46966.80,0.00,INR,Payment for INV0000011,CUST000002
GL00010011-2,2025-02-25,Payment,PAY0000011,120000,Accounts Receivable,0.00,46966.80,INR,Payment for INV0000011,CUST000002
GL00000012-1,2024-12-03,Invoice,INV0000012,120000,Accounts Receivable,51786.47,0.00,INR,PO-810962,CUST000002
GL00000012-2,2024-12-03,Invoice,INV0000012,400000,Sales Revenue,0.00,40458.18,INR,PO-810962,CUST000002
GL00000012-3,2024-12-03,Invoice,INV0000012,220000,Sales Tax Payable,0.00,11328.29,INR,PO-810962,CUST000002
GL00010012-1,2024-12-24,Payment,PAY0000012,110000,Bank Account,51786.47,0.00,INR,Payment for INV0000012,CUST000002
GL00010012-2,2024-12-24,Payment,PAY0000012,120000,Accounts Receivable,0.00,51786.47,INR,Payment for INV0000012,CUST000002
GL00000013-1,2024-11-16,Invoice,INV0000013,120000,Accounts Receivable,38672.31,0.00,INR,PO-889114,CUST000002
GL00000013-2,2024-11-16,Invoice,INV0000013,400000,Sales Revenue,0.00,34528.85,INR,PO-889114,CUST000002
GL00000013-3,2024-11-16,Invoice,INV0000013,220000,Sales Tax Payable,0.00,4143.46,INR,PO-889114,CUST000002
GL00010013-1,2025-03-30,Payment,PAY0000013,110000,Bank Account,38672.31,0.00,INR,Payment for INV0000013,CUST000002
GL00010013-2,2025-03-30,Payment,PAY0000013,120000,Accounts Receivable,0.00,38672.31,INR,Payment for INV0000013,CUST000002
GL00000014-1,2025-04-17,Invoice,INV0000014,120000,Accounts Receivable,62428.72,0.00,INR,PO-299848,CUST000002
GL00000014-2,2025-04-17,Invoice,INV0000014,400000,Sales Revenue,0.00,59455.92,INR,PO-299848,CUST000002
GL00000014-3,2025-04-17,Invoice,INV0000014,220000,Sales Tax Payable,0.00,2972.80,INR,PO-299848,CUST000002
GL00000015-1,2025-03-16,Invoice,INV0000015,120000,Accounts Receivable,12023.66,0.00,INR,PO-804544,CUST000002
GL00000015-2,2025-03-16,Invoice,INV0000015,400000,Sales Revenue,0.00,11451.10,INR,PO-804544,CUST000002
GL00000015-3,2025-03-16,Invoice,INV0000015,220000,Sales Tax Payable,0.00,572.56,INR,PO-804544,CUST000002
GL00000016-1,2024-11-06,Invoice,INV0000016,120000,Accounts Receivable,49858.01,0.00,INR,PO-939697,CUST000002
GL00000016-2,2024-11-06,Invoice,INV0000016,400000,Sales Revenue,0.00,42252.55,INR,PO-939697,CUST000002
GL00000016-3,2024-11-06,Invoice,INV0000016,220000,Sales Tax Payable,0.00,7605.46,INR,PO-939697,CUST000002
GL00000021-1,2025-03-16,Invoice,INV0000021,120000,Accounts Receivable,531653.83,0.00,INR,PO-929269,CUST000003
GL00000021-2,2025-03-16,Invoice,INV0000021,400000,Sales Revenue,0.00,450554.09,INR,PO-929269,CUST000003
GL00000021-3,2025-03-16,Invoice,INV0000021,220000,Sales Tax Payable,0.00,81099.74,INR,PO-929269,CUST000003
GL00010021-1,2025-04-14,Payment,PAY0000021,110000,Bank Account,531653.83,0.00,INR,Payment for INV0000021,CUST000003
GL00010021-2,2025-04-14,Payment,PAY0000021,120000,Accounts Receivable,0.00,531653.83,INR,Payment for INV0000021,CUST000003
