line_item_id,invoice_id,product_code,product_description,quantity,unit_price,amount,tax_rate,tax_amount,total_amount
ITEM00000001,INV0000001,PROD-6070,Support Contract,8,59251.19,296255.97,28%,82951.67,379207.64
ITEM00000006,INV0000002,PROD-5762,Consulting Services,10,51409.99,205639.96,12%,24676.80,230316.76
ITEM00000007,INV0000002,PROD-3122,Consulting Services,10,2495.55,22459.96,12%,2695.20,25155.16
ITEM00000008,INV0000002,PROD-9305,Implementation Services,1,12709.82,76258.92,12%,9151.07,85409.99
ITEM00000009,INV0000002,PROD-3183,Network Equipment,1,13179.44,52717.78,12%,6326.13,59043.91
ITEM00000010,INV0000002,PROD-5730,Training Package,5,8868.97,35475.87,12%,4257.10,39732.97
ITEM00000011,INV0000003,PROD-1393,Security Solution,4,14414.86,115318.86,12%,13838.26,129157.12
ITEM00000012,INV0000003,PROD-7869,Cloud Subscription,6,3536.48,31828.32,12%,3819.40,35647.72
ITEM00000013,INV0000003,PROD-4698,Support Contract,2,1981.84,19818.40,12%,2378.21,22196.61
ITEM00000014,INV0000003,PROD-6191,Implementation Services,9,3513.60,10540.79,12%,1264.89,11805.68
ITEM00000015,INV0000003,PROD-2871,Cloud Subscription,2,12146.41,24292.82,12%,2915.14,27207.96
ITEM00000016,INV0000004,PROD-5911,Hardware Appliance,9,420635.19,420635.19,12%,50476.22,471111.41
ITEM00000021,INV0000005,PROD-1646,Training Package,7,34838.16,243867.15,18%,43896.09,287763.24
ITEM00000026,INV0000006,PROD-2065,Implementation Services,8,20130.97,120785.79,12%,14494.29,135280.08
ITEM00000027,INV0000006,PROD-2876,Support Contract,10,25643.62,153861.70,12%,18463.40,172325.10
ITEM00000028,INV0000006,PROD-8815,Implementation Services,8,3461.47,17307.34,12%,2076.88,19384.22
ITEM00000029,INV0000006,PROD-3286,Security Solution,1,25743.61,77230.82,12%,9267.70,86498.52
ITEM00000030,INV0000006,PROD-8494,Implementation Services,10,11819.81,70918.83,12%,8510.26,79429.09
ITEM00000051,INV0000011,PROD-2429,Security Solution,9,2875.80,23006.36,5%,1150.32,24156.68
ITEM00000052,INV0000011,PROD-8569,Implementation Services,9,5430.98,21723.93,5%,1086.20,22810.13
ITEM00000056,INV0000012,PROD-7979,Hardware Appliance,3,8688.02,17376.04,28%,4865.29,22241.33
ITEM00000057,INV0000012,PROD-3107,Implementation Services,6,1513.59,10595.16,28%,2966.64,13561.80
ITEM00000058,INV0000012,PROD-7580,Hardware Appliance,8,336.87,2694.99,28%,754.60,3449.59
ITEM00000059,INV0000012,PROD-9408,Hardware Appliance,9,634.65,3173.25,28%,888.51,4061.76
ITEM00000060,INV0000012,PROD-4184,Security Solution,8,827.34,6618.74,28%,1853.25,8471.99
ITEM00000061,INV0000013,PROD-4863,Support Contract,8,963.83,7710.64,12%,925.28,8635.92
ITEM00000062,INV0000013,PROD-1516,Security Solution,6,2681.82,26818.21,12%,3218.19,30036.40
ITEM00000066,INV0000014,PROD-8873,Network Equipment,9,6286.45,12572.91,5%,628.65,13201.56
ITEM00000067,INV0000014,PROD-9263,Network Equipment,8,5860.38,46883.01,5%,2344.15,49227.16
ITEM00000071,INV0000015,PROD-5239,Maintenance Agreement,5,463.77,1855.07,5%,92.75,1947.82
