customer_id,customer_name,risk_score,risk_category,credit_limit,outstanding_amount,credit_utilization,overdue_rate,avg_days_late,total_invoices,overdue_invoices,has_disputes,has_collection_history,recommended_action,last_assessment_date
CUST000001,Tata Tech Limited,50,Medium Risk,5954169,226015.08,3.80%,16.67%,43.4,6,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000002,Reliance Tech Limited,63,Medium Risk,258802,124310.39,48.03%,33.33%,35.7,6,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000003,Infosys Tech Limited,42,Low Risk,24750363,701647.33,2.83%,33.33%,7.0,3,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000004,Bharti Tech Limited,35,Low Risk,506600,0.00,0.00%,0.00%,55.4,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000005,HDFC Tech Limited,29,Low Risk,7940178,285429.49,3.59%,33.33%,0.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000006,Wipro Tech Limited,51,Medium Risk,6592604,419812.25,6.37%,20.00%,29.3,5,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000007,Mahindra Tech Limited,27,Low Risk,6884210,1114880.82,16.19%,14.29%,1.3,7,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000008,Birla Tech Limited,56,Medium Risk,2113012,312965.08,14.81%,33.33%,45.5,3,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000009,Adani Tech Limited,49,Low Risk,3636514,663057.01,18.23%,40.00%,46.3,5,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000010,JSW Tech Limited,44,Low Risk,612947,83258.93,13.58%,25.00%,55.7,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000011,Godrej Tech Limited,47,Low Risk,2989190,1149966.74,38.47%,50.00%,13.0,6,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000012,L&T Tech Limited,34,Low Risk,8997147,187245.69,2.08%,0.00%,26.5,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000013,ICICI Tech Limited,50,Medium Risk,5801197,1140398.41,19.66%,42.86%,58.5,7,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000014,SBI Tech Limited,44,Low Risk,18198610,2647662.18,14.55%,25.00%,40.2,8,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000015,TCS Tech Limited,47,Low Risk,4185803,602945.04,14.40%,40.00%,8.0,5,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000016,Bajaj Tech Limited,62,Medium Risk,488965,385823.77,78.91%,62.50%,1.5,8,5,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000017,HCL Tech Limited,30,Low Risk,931104,117038.41,12.57%,25.00%,1.5,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000018,Hindustan Tech Limited,52,Medium Risk,9233496,1188887.98,12.88%,25.00%,26.3,8,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000019,Indian Tech Limited,54,Medium Risk,939996,198287.15,21.09%,60.00%,38.5,5,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000020,Tech Tech Limited,34,Low Risk,745392,53774.40,7.21%,0.00%,25.0,8,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000021,Tata Info Limited,47,Low Risk,266536,170243.23,63.87%,14.29%,0.8,7,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000022,Reliance Info Limited,42,Low Risk,720019,85114.76,11.82%,16.67%,34.2,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000023,Infosys Info Limited,41,Low Risk,955190,226755.81,23.74%,42.86%,11.5,7,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000024,Bharti Info Limited,53,Medium Risk,6842954,724299.41,10.58%,25.00%,72.5,4,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000025,HDFC Info Limited,36,Low Risk,9910188,922863.58,9.31%,16.67%,0.5,6,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000026,Wipro Info Limited,50,Medium Risk,646798,238269.54,36.84%,0.00%,24.5,5,0,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000027,Mahindra Info Limited,45,Low Risk,523001,191879.75,36.69%,0.00%,14.3,6,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000028,Birla Info Limited,41,Low Risk,240671,70154.31,29.15%,0.00%,33.5,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000029,Adani Info Limited,49,Low Risk,489530,191534.15,39.13%,25.00%,30.0,8,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000030,JSW Info Limited,48,Low Risk,213755,186826.85,87.40%,20.00%,11.5,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000031,Godrej Info Limited,42,Low Risk,9769777,136717.35,1.40%,25.00%,60.3,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000032,L&T Info Limited,49,Low Risk,2951644,686356.85,23.25%,50.00%,3.3,6,3,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000033,ICICI Info Limited,32,Low Risk,42463807,3550841.25,8.36%,0.00%,0.0,6,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000034,SBI Info Limited,47,Low Risk,431429,71524.05,16.58%,33.33%,35.5,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000035,TCS Info Limited,45,Low Risk,7977231,788935.90,9.89%,33.33%,142.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000036,Bajaj Info Limited,51,Medium Risk,33486762,2521116.11,7.53%,50.00%,13.7,6,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000037,HCL Info Limited,56,Medium Risk,2737476,599728.97,21.91%,25.00%,42.2,8,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000038,Hindustan Info Limited,47,Low Risk,28557916,3204054.06,11.22%,50.00%,25.0,4,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000039,Indian Info Limited,32,Low Risk,9012935,197760.64,2.19%,0.00%,23.5,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000040,Tech Info Limited,40,Low Risk,31219182,1160302.57,3.72%,20.00%,9.5,5,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000041,Tata Auto Limited,38,Low Risk,892781,229356.47,25.69%,20.00%,15.0,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000042,Reliance Auto Limited,32,Low Risk,4671992,469393.10,10.05%,0.00%,0.0,3,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000043,Infosys Auto Limited,35,Low Risk,2514044,0.00,0.00%,0.00%,37.5,6,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000044,Bharti Auto Limited,45,Low Risk,189075632,7298200.46,3.86%,28.57%,13.8,7,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000045,HDFC Auto Limited,47,Low Risk,7525526,664676.27,8.83%,40.00%,41.0,5,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000046,Wipro Auto Limited,48,Low Risk,10382137,5160483.91,49.71%,33.33%,0.0,6,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000047,Mahindra Auto Limited,41,Low Risk,1764615,573028.05,32.47%,0.00%,37.0,6,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000048,Birla Auto Limited,46,Low Risk,5344535,982246.37,18.38%,50.00%,0.0,4,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000049,Adani Auto Limited,48,Low Risk,620149,152999.92,24.67%,33.33%,42.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000050,JSW Auto Limited,21,Minimal Risk,6322287,379119.14,6.00%,0.00%,0.0,4,0,No,No,Standard Terms / Potential Credit Increase,2025-04-15
CUST000051,Godrej Auto Limited,47,Low Risk,5643595,520963.04,9.23%,0.00%,47.0,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000052,L&T Auto Limited,70,Medium Risk,847839,314225.85,37.06%,71.43%,47.0,7,5,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000053,ICICI Auto Limited,47,Low Risk,4706318,1621804.79,34.46%,37.50%,1.0,8,3,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000054,SBI Auto Limited,44,Low Risk,570445,181897.60,31.89%,20.00%,5.7,5,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000055,TCS Auto Limited,38,Low Risk,3330628,0.00,0.00%,0.00%,16.4,7,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000056,Bajaj Auto Limited,32,Low Risk,379660,0.00,0.00%,0.00%,24.7,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000057,HCL Auto Limited,50,Medium Risk,741313,169050.62,22.80%,100.00%,0.0,3,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000058,Hindustan Auto Limited,35,Low Risk,7709545,0.00,0.00%,0.00%,54.1,8,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000059,Indian Auto Limited,37,Low Risk,283334,21606.52,7.63%,0.00%,34.0,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000060,Tech Auto Limited,66,Medium Risk,287280,235845.54,82.10%,60.00%,50.5,5,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000061,Tata Fin Limited,33,Low Risk,4754524,997413.38,20.98%,28.57%,4.3,7,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000062,Reliance Fin Limited,32,Low Risk,980847,0.00,0.00%,0.00%,23.4,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000063,Infosys Fin Limited,39,Low Risk,8566087,944621.66,11.03%,40.00%,14.3,5,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000064,Bharti Fin Limited,65,Medium Risk,853017,397557.22,46.61%,50.00%,26.7,8,4,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000065,HDFC Fin Limited,32,Low Risk,6236253,806986.92,12.94%,20.00%,8.5,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000066,Wipro Fin Limited,33,Low Risk,41535498,580485.19,1.40%,0.00%,6.3,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000067,Mahindra Fin Limited,49,Low Risk,32344343,3545513.81,10.96%,12.50%,26.8,8,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
