gl_entry_id,posting_date,document_type,document_number,account_code,account_description,debit,credit,currency,reference,customer_id
GL00000001-1,2025-04-10,Invoice,INV0000001,120000,Accounts Receivable,1426698.29,0.00,INR,PO-328936,CUST000001
GL00000001-2,2025-04-10,Invoice,INV0000001,400000,Sales Revenue,0.00,1209066.35,INR,PO-328936,CUST000001
GL00000001-3,2025-04-10,Invoice,INV0000001,220000,Sales Tax Payable,0.00,217631.94,INR,PO-328936,CUST000001
GL00000002-1,2025-03-08,Invoice,INV0000002,120000,Accounts Receivable,1765183.34,0.00,INR,PO-225620,CUST000001
GL00000002-2,2025-03-08,Invoice,INV0000002,400000,Sales Revenue,0.00,1576056.55,INR,PO-225620,CUST000001
GL00000002-3,2025-03-08,Invoice,INV0000002,220000,Sales Tax Payable,0.00,189126.79,INR,PO-225620,CUST000001
GL00010002-1,2025-03-18,Payment,PAY0000002,110000,Bank Account,1765183.34,0.00,INR,Payment for INV0000002,CUST000001
GL00010002-2,2025-03-18,Payment,PAY0000002,120000,Accounts Receivable,0.00,1765183.34,INR,Payment for INV0000002,CUST000001
GL00000003-1,2024-10-27,Invoice,INV0000003,120000,Accounts Receivable,1134242.92,0.00,INR,PO-638379,CUST000001
GL00000003-2,2024-10-27,Invoice,INV0000003,400000,Sales Revenue,0.00,961222.81,INR,PO-638379,CUST000001
GL00000003-3,2024-10-27,Invoice,INV0000003,220000,Sales Tax Payable,0.00,173020.11,INR,PO-638379,CUST000001
GL00010003-1,2024-12-14,Payment,PAY0000003,110000,Bank Account,1134242.92,0.00,INR,Payment for INV0000003,CUST000001
GL00010003-2,2024-12-14,Payment,PAY0000003,120000,Accounts Receivable,0.00,1134242.92,INR,Payment for INV0000003,CUST000001
GL00000004-1,2025-02-16,Invoice,INV0000004,120000,Accounts Receivable,310755.27,0.00,INR,PO-366282,CUST000001
GL00000004-2,2025-02-16,Invoice,INV0000004,400000,Sales Revenue,0.00,263351.92,INR,PO-366282,CUST000001
