line_item_id,invoice_id,product_code,product_description,quantity,unit_price,amount,tax_rate,tax_amount,total_amount
ITEM00000001,INV0000001,PROD-8305,Security Solution,4,120906.64,1209066.35,18%,217631.94,1426698.29
ITEM00000006,INV0000002,PROD-7017,Software License,3,95204.36,761634.89,12%,91396.19,853031.08
ITEM00000007,INV0000002,PROD-9347,Maintenance Agreement,5,101802.71,814421.66,12%,97730.60,912152.26
ITEM00000011,INV0000003,PROD-8705,Support Contract,5,59149.37,236597.48,18%,42587.55,279185.03
ITEM00000012,INV0000003,PROD-3581,Implementation Services,1,83914.43,335657.74,18%,60418.39,396076.13
ITEM00000013,INV0000003,PROD-3288,Maintenance Agreement,7,48620.95,388967.60,18%,70014.17,458981.77
ITEM00000016,INV0000004,PROD-2861,Software License,7,38514.32,154057.30,18%,27730.31,181787.61
ITEM00000017,INV0000004,PROD-7869,Security Solution,10,12143.85,109294.62,18%,19673.03,128967.65
ITEM00000021,INV0000005,PROD-2208,Software License,10,55588.01,555880.15,28%,155646.44,711526.59
ITEM00000026,INV0000006,PROD-3971,Implementation Services,5,11367.39,113673.90,18%,20461.30,134135.20
ITEM00000027,INV0000006,PROD-7773,Cloud Subscription,9,30142.39,241139.14,18%,43405.05,284544.19
ITEM00000028,INV0000006,PROD-9075,Support Contract,4,240655.03,240655.03,18%,43317.91,283972.94
ITEM00000029,INV0000006,PROD-5895,Cloud Subscription,9,30665.87,275992.84,18%,49678.71,325671.55
ITEM00000031,INV0000007,PROD-8376,Cloud Subscription,7,1212001.73,1212001.73,12%,145440.21,1357441.94
ITEM00000032,INV0000007,PROD-1560,Software License,2,41605.70,291239.90,12%,34948.79,326188.69
ITEM00000033,INV0000007,PROD-8037,Software License,4,81702.55,408512.76,12%,49021.53,457534.29
ITEM00000036,INV0000008,PROD-9762,Maintenance Agreement,4,42349.77,254098.62,5%,12704.93,266803.55
ITEM00000037,INV0000008,PROD-1588,Training Package,3,184781.89,554345.66,5%,27717.28,582062.94
ITEM00000051,INV0000011,PROD-8581,Cloud Subscription,3,40636.91,121910.74,18%,21943.93,143854.67
ITEM00000056,INV0000012,PROD-6567,Network Equipment,3,5498.29,54982.89,18%,9896.92,64879.81
ITEM00000057,INV0000012,PROD-3870,Support Contract,2,183021.17,366042.34,18%,65887.62,431929.96
ITEM00000061,INV0000013,PROD-3997,Security Solution,10,6864.84,68648.36,12%,8237.80,76886.16
ITEM00000062,INV0000013,PROD-5825,Network Equipment,1,5366.39,53663.95,12%,6439.67,60103.62
ITEM00000063,INV0000013,PROD-5732,Support Contract,7,11414.52,22829.04,12%,2739.48,25568.52
ITEM00000064,INV0000013,PROD-4541,Software License,5,10415.33,52076.67,12%,6249.20,58325.87
ITEM00000101,INV0000021,PROD-4926,Cloud Subscription,7,23565.15,70695.46,18%,12725.18,83420.64
ITEM00000102,INV0000021,PROD-7535,Consulting Services,4,27224.80,54449.60,18%,9800.93,64250.53
ITEM00000103,INV0000021,PROD-4152,Network Equipment,1,14464.49,43393.46,18%,7810.82,51204.28
ITEM00000106,INV0000022,PROD-2884,Network Equipment,2,13320.07,39960.20,18%,7192.84,47153.04
ITEM00000107,INV0000022,PROD-6443,Training Package,10,22172.71,88690.83,18%,15964.35,104655.18
ITEM00000111,INV0000023,PROD-5344,Consulting Services,9,37214.89,260504.21,18%,46890.76,307394.97
ITEM00000151,INV0000031,PROD-6170,Consulting Services,10,5163.84,41310.70,18%,7435.93,48746.63
ITEM00000152,INV0000031,PROD-9389,Training Package,3,882.93,6180.51,18%,1112.49,7293.00
ITEM00000153,INV0000031,PROD-1102,Network Equipment,2,8717.30,17434.60,18%,3138.23,20572.83
ITEM00000156,INV0000032,PROD-9162,Network Equipment,4,3814.68,3814.68,18%,686.64,4501.32
ITEM00000157,INV0000032,PROD-6084,Cloud Subscription,6,6866.73,20600.18,18%,3708.03,24308.21
ITEM00000161,INV0000033,PROD-6649,Implementation Services,3,31349.03,94047.08,18%,16928.47,110975.55
ITEM00000166,INV0000034,PROD-8426,Hardware Appliance,2,1725.00,12074.99,12%,1449.00,13523.99
ITEM00000167,INV0000034,PROD-9615,Hardware Appliance,6,16307.97,16307.97,12%,1956.96,18264.93
ITEM00000168,INV0000034,PROD-9534,Network Equipment,6,3167.09,28503.84,12%,3420.46,31924.30
ITEM00000171,INV0000035,PROD-2941,Cloud Subscription,1,4150.11,37351.00,5%,1867.55,39218.55
ITEM00000172,INV0000035,PROD-6378,Software License,10,1043.33,6259.96,5%,313.00,6572.96
ITEM00000173,INV0000035,PROD-4636,Network Equipment,8,7108.44,42650.66,5%,2132.53,44783.19
ITEM00000176,INV0000036,PROD-2702,Support Contract,2,2675.80,26757.95,18%,4816.43,31574.38
ITEM00000177,INV0000036,PROD-7998,Consulting Services,3,433.48,4334.75,18%,780.25,5115.01
ITEM00000178,INV0000036,PROD-4792,Software License,7,771.64,4629.84,18%,833.37,5463.21
ITEM00000179,INV0000036,PROD-8309,Consulting Services,2,10104.55,10104.55,18%,1818.82,11923.37
ITEM00000201,INV0000041,PROD-8746,Cloud Subscription,7,301614.31,301614.31,12%,36193.72,337808.03
ITEM00000206,INV0000042,PROD-5824,Maintenance Agreement,7,68956.11,68956.11,5%,3447.81,72403.92
ITEM00000207,INV0000042,PROD-3130,Software License,9,5215.75,15647.24,5%,782.36,16429.60
ITEM00000208,INV0000042,PROD-7287,Support Contract,4,9953.81,79630.51,5%,3981.53,83612.04
ITEM00000211,INV0000043,PROD-4689,Implementation Services,5,49194.12,442747.04,12%,53129.64,495876.68
ITEM00000216,INV0000044,PROD-8157,Cloud Subscription,3,6003.17,42022.16,18%,7563.99,49586.15
ITEM00000217,INV0000044,PROD-2311,Network Equipment,9,44353.33,221766.63,18%,39917.99,261684.62
ITEM00000221,INV0000045,PROD-6903,Network Equipment,6,16917.37,101504.24,5%,5075.21,106579.45
ITEM00000222,INV0000045,PROD-5395,Security Solution,10,52804.78,264023.90,5%,13201.20,277225.10
ITEM00000223,INV0000045,PROD-6392,Training Package,5,115310.96,115310.96,5%,5765.55,121076.51
ITEM00000251,INV0000051,PROD-5590,Hardware Appliance,1,105982.21,529911.07,18%,95383.99,625295.06
ITEM00000252,INV0000051,PROD-1496,Support Contract,10,128635.32,257270.63,18%,46308.71,303579.34
ITEM00000256,INV0000052,PROD-1655,Software License,7,137567.24,1375672.45,5%,68783.62,1444456.07
ITEM00000261,INV0000053,PROD-5369,Support Contract,6,139692.10,419076.30,18%,75433.73,494510.03
ITEM00000262,INV0000053,PROD-7380,Maintenance Agreement,10,14275.54,85653.25,18%,15417.58,101070.83
ITEM00000263,INV0000053,PROD-2836,Hardware Appliance,8,37875.29,378752.92,18%,68175.53,446928.45
ITEM00000264,INV0000053,PROD-2854,Hardware Appliance,8,112434.92,112434.92,18%,20238.29,132673.21
ITEM00000265,INV0000053,PROD-4231,Consulting Services,1,19915.37,119492.21,18%,21508.60,141000.81
ITEM00000266,INV0000054,PROD-1417,Security Solution,4,56553.56,226214.23,28%,63339.98,289554.21
ITEM00000267,INV0000054,PROD-3750,Consulting Services,3,93949.10,281847.29,28%,78917.24,360764.53
ITEM00000268,INV0000054,PROD-7252,Consulting Services,7,51574.68,154724.05,28%,43322.73,198046.78
ITEM00000271,INV0000055,PROD-5259,Software License,5,29051.54,145257.72,18%,26146.39,171404.11
ITEM00000272,INV0000055,PROD-3977,Software License,5,383824.91,383824.91,18%,69088.48,452913.39
ITEM00000301,INV0000061,PROD-6408,Training Package,1,29489.21,235913.69,5%,11795.68,247709.37
ITEM00000302,INV0000061,PROD-5000,Cloud Subscription,1,7994.44,63955.56,5%,3197.78,67153.34
ITEM00000303,INV0000061,PROD-2367,Security Solution,9,4542.96,22714.81,5%,1135.74,23850.55
ITEM00000304,INV0000061,PROD-7320,Security Solution,9,1527.13,6108.52,5%,305.43,6413.95
ITEM00000305,INV0000061,PROD-8576,Support Contract,6,1471.71,14717.10,5%,735.86,15452.96
ITEM00000306,INV0000062,PROD-3073,Training Package,10,226131.57,452263.13,12%,54271.58,506534.71
ITEM00000311,INV0000063,PROD-4169,Implementation Services,6,5037.42,45336.77,18%,8160.62,53497.39
ITEM00000312,INV0000063,PROD-9592,Training Package,2,72351.17,72351.17,18%,13023.21,85374.38
ITEM00000313,INV0000063,PROD-1230,Maintenance Agreement,1,6527.55,52220.40,18%,9399.67,61620.07
ITEM00000314,INV0000063,PROD-1533,Support Contract,6,5432.31,27161.57,18%,4889.08,32050.65
ITEM00000316,INV0000064,PROD-1873,Support Contract,1,12367.08,49468.34,5%,2473.42,51941.76
ITEM00000317,INV0000064,PROD-2510,Security Solution,8,62704.36,62704.36,5%,3135.22,65839.58
ITEM00000318,INV0000064,PROD-9304,Support Contract,8,7326.92,29307.67,5%,1465.38,30773.05
ITEM00000319,INV0000064,PROD-9424,Implementation Services,4,466.06,4194.51,5%,209.73,4404.24
ITEM00000320,INV0000064,PROD-4590,Consulting Services,6,2708.10,27080.95,5%,1354.05,28435.00
ITEM00000321,INV0000065,PROD-9626,Implementation Services,1,66423.65,265694.58,28%,74394.48,340089.06
ITEM00000322,INV0000065,PROD-3519,Training Package,7,41422.63,41422.63,28%,11598.34,53020.97
ITEM00000323,INV0000065,PROD-3783,Hardware Appliance,5,4249.49,12748.46,28%,3569.57,16318.03
ITEM00000324,INV0000065,PROD-8505,Consulting Services,7,12189.21,73135.28,28%,20477.88,93613.16
ITEM00000326,INV0000066,PROD-2213,Software License,2,6519.02,65190.16,12%,7822.82,73012.98
ITEM00000327,INV0000066,PROD-5296,Software License,8,10165.15,60990.89,12%,7318.91,68309.80
ITEM00000328,INV0000066,PROD-8208,Security Solution,3,3484.35,34843.49,12%,4181.22,39024.71
ITEM00000351,INV0000071,PROD-5870,Software License,6,125768.47,880379.30,12%,105645.52,986024.82
ITEM00000352,INV0000071,PROD-3975,Network Equipment,2,23127.74,161894.21,12%,19427.31,181321.52
ITEM00000353,INV0000071,PROD-5082,Network Equipment,9,14590.15,43770.44,12%,5252.45,49022.89
ITEM00000354,INV0000071,PROD-1014,Training Package,4,73872.15,295488.62,12%,35458.63,330947.25
ITEM00000356,INV0000072,PROD-1702,Hardware Appliance,5,41879.08,83758.16,12%,10050.98,93809.14
ITEM00000357,INV0000072,PROD-4078,Maintenance Agreement,4,16526.75,115687.27,12%,13882.47,129569.74
ITEM00000358,INV0000072,PROD-1010,Consulting Services,8,5737.09,34422.52,12%,4130.70,38553.22
ITEM00000359,INV0000072,PROD-2824,Training Package,8,16427.60,98565.62,12%,11827.87,110393.49
ITEM00000361,INV0000073,PROD-9753,Maintenance Agreement,2,414904.19,1244712.57,12%,149365.51,1394078.08
ITEM00000362,INV0000073,PROD-8722,Security Solution,9,76549.57,459297.39,12%,55115.69,514413.08
ITEM00000363,INV0000073,PROD-5950,Cloud Subscription,2,9254.21,92542.06,12%,11105.05,103647.11
ITEM00000364,INV0000073,PROD-4542,Network Equipment,7,6789.54,67895.41,12%,8147.45,76042.86
ITEM00000365,INV0000073,PROD-8889,Training Package,3,11459.49,103135.37,12%,12376.24,115511.61
ITEM00000366,INV0000074,PROD-5129,Training Package,5,60025.08,480200.68,18%,86436.12,566636.80
ITEM00000367,INV0000074,PROD-6859,Implementation Services,1,17954.89,89774.47,18%,16159.40,105933.87
ITEM00000368,INV0000074,PROD-7743,Hardware Appliance,5,42030.92,210154.61,18%,37827.83,247982.44
ITEM00000369,INV0000074,PROD-4071,Network Equipment,6,13470.73,107765.85,18%,19397.85,127163.70
