plan_id,invoice_id,customer_id,customer_name,start_date,end_date,original_amount,installments,installment_amount,installments_paid,remaining_balance,status,created_by,handler_id,next_installment_date,last_payment_date
PLAN000001,INV0000006,CUST000001,Tata Tech Limited,2025-03-28,2025-07-28,1028323.87,4,257080.97,0,1028323.87,Active,Ashok Mishra,REP000030,2025-04-27,
PLAN000002,INV0000031,CUST000004,Bharti Tech Limited,2025-04-14,2025-06-14,76612.46,2,38306.23,0,76612.46,Active,Raj Gupta,REP000001,2025-05-14,
PLAN000003,INV0000045,CUST000005,HDFC Tech Limited,2025-04-14,2025-09-14,504881.05,5,100976.21,0,504881.05,Active,Raj Gupta,REP000001,2025-05-14,
PLAN000004,INV0000051,CUST000006,Wipro Tech Limited,2025-03-29,2025-07-29,928874.41,4,232218.60,0,928874.41,Active,Amit Mishra,REP000022,2025-04-28,
PLAN000005,INV0000062,CUST000007,Mahindra Tech Limited,2025-04-15,2025-08-15,506534.71,4,126633.68,0,506534.71,Active,Rajesh Gupta,REP000009,2025-05-15,
PLAN000006,INV0000063,CUST000007,Mahindra Tech Limited,2024-12-20,2025-03-20,232542.49,3,77514.16,3,0.01,Completed,Vijay Joshi,REP000043,,2024-12-25
PLAN000007,INV0000082,CUST000009,Adani Tech Limited,2025-04-01,2025-06-01,19057.73,2,9528.86,0,19057.73,Active,Sanjay Mishra,REP000027,2025-05-01,
PLAN000008,INV0000085,CUST000009,Adani Tech Limited,2025-03-30,2025-05-30,13909.45,2,6954.73,0,13909.45,Active,Ashok Mishra,REP000030,2025-04-29,
PLAN000009,INV0000142,CUST000015,TCS Tech Limited,2025-03-08,2025-05-08,99511.45,2,49755.72,1,49755.73,Active,Neha Mishra,REP000032,2025-05-08,2025-03-23
PLAN000010,INV0000212,CUST000022,Reliance Info Limited,2025-03-27,2025-05-27,90403.72,2,45201.86,0,90403.72,Active,Rajesh Gupta,REP000009,2025-04-26,
PLAN000011,INV0000215,CUST000022,Reliance Info Limited,2025-04-13,2025-06-13,38879.09,2,19439.54,0,38879.09,Canceled,Vijay Joshi,REP000043,,
PLAN000012,INV0000217,CUST000022,Reliance Info Limited,2024-11-29,2025-01-29,50071.62,2,25035.81,0,50071.62,Defaulted,Kavita Mishra,REP000038,,
PLAN000013,INV0000225,CUST000023,Infosys Info Limited,2025-04-05,2025-07-05,35250.77,3,11750.26,0,35250.77,Active,Rahul Joshi,REP000046,2025-05-05,
PLAN000014,INV0000241,CUST000025,HDFC Info Limited,2025-03-26,2025-05-26,113452.11,2,56726.06,0,113452.11,Active,Ashok Gupta,REP000010,2025-04-25,
