customer_id,customer_name,risk_score,risk_category,credit_limit,outstanding_amount,credit_utilization,overdue_rate,avg_days_late,total_invoices,overdue_invoices,has_disputes,has_collection_history,recommended_action,last_assessment_date
CUST000001,Tata Tech Limited,32,Low Risk,29848888,5307713.67,17.78%,12.50%,10.5,8,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000002,Reliance Tech Limited,29,Low Risk,7597247,143854.67,1.89%,33.33%,0.5,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000003,Infosys Tech Limited,38,Low Risk,2076903,405682.89,19.53%,0.00%,29.0,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000004,Bharti Tech Limited,40,Low Risk,527219,76612.46,14.53%,16.67%,6.6,6,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000005,HDFC Tech Limited,54,Medium Risk,1892706,842689.08,44.52%,40.00%,32.3,5,2,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000006,Wipro Tech Limited,26,Low Risk,26510270,928874.41,3.50%,20.00%,0.3,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000007,Mahindra Tech Limited,32,Low Risk,5417220,919424.68,16.97%,33.33%,0.7,6,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000008,Birla Tech Limited,44,Low Risk,11940340,1919642.08,16.08%,25.00%,28.5,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000009,Adani Tech Limited,47,Low Risk,270879,103915.95,38.36%,28.57%,3.5,7,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000010,JSW Tech Limited,46,Low Risk,5963998,433929.00,7.28%,0.00%,44.2,8,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000011,Godrej Tech Limited,27,Low Risk,2314076,445220.58,19.24%,0.00%,6.8,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000012,L&T Tech Limited,52,Medium Risk,272684,100578.81,36.88%,12.50%,22.0,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000013,ICICI Tech Limited,32,Low Risk,9634632,380402.10,3.95%,16.67%,14.0,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000014,SBI Tech Limited,47,Low Risk,5880075,621671.71,10.57%,50.00%,5.0,6,3,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000015,TCS Tech Limited,29,Low Risk,869866,99511.45,11.44%,25.00%,0.0,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000016,Bajaj Tech Limited,35,Low Risk,2259828,0.00,0.00%,0.00%,34.3,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000017,HCL Tech Limited,48,Low Risk,711014,93080.64,13.09%,0.00%,55.0,3,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000018,Hindustan Tech Limited,40,Low Risk,3883737,379241.00,9.76%,0.00%,16.7,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000019,Indian Tech Limited,55,Medium Risk,644699,116475.46,18.07%,50.00%,17.0,4,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000020,Tech Tech Limited,45,Low Risk,40639872,0.00,0.00%,0.00%,45.0,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000021,Tata Info Limited,46,Low Risk,11483190,4859519.60,42.32%,12.50%,28.5,8,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000022,Reliance Info Limited,74,Medium Risk,116785,179354.43,153.58%,37.50%,46.0,8,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000023,Infosys Info Limited,65,Medium Risk,309079,204578.22,66.19%,28.57%,28.7,7,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000024,Bharti Info Limited,35,Low Risk,3004041,0.00,0.00%,0.00%,44.7,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000025,HDFC Info Limited,48,Low Risk,9158328,1638494.26,17.89%,37.50%,44.7,8,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000026,Wipro Info Limited,33,Low Risk,28055683,840104.60,2.99%,25.00%,12.7,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000027,Mahindra Info Limited,36,Low Risk,28652993,1229273.65,4.29%,0.00%,29.5,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000028,Birla Info Limited,55,Medium Risk,531353,109689.11,20.64%,25.00%,66.7,8,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000029,Adani Info Limited,41,Low Risk,8973468,630275.72,7.02%,16.67%,51.0,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000030,JSW Info Limited,39,Low Risk,9820955,0.00,0.00%,0.00%,18.4,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000031,Godrej Info Limited,41,Low Risk,291882,85514.08,29.30%,0.00%,49.0,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000032,L&T Info Limited,52,Medium Risk,9700993,1143440.26,11.79%,16.67%,83.3,6,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000033,ICICI Info Limited,32,Low Risk,22752429,1695682.16,7.45%,0.00%,1.0,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000034,SBI Info Limited,54,Medium Risk,3110118,829192.79,26.66%,28.57%,23.3,7,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000035,TCS Info Limited,67,Medium Risk,1157911,1022522.95,88.31%,28.57%,23.7,7,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000036,Bajaj Info Limited,45,Low Risk,420209,0.00,0.00%,0.00%,54.0,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000037,HCL Info Limited,30,Low Risk,4559386,131143.57,2.88%,0.00%,19.7,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000038,Hindustan Info Limited,43,Low Risk,28904981,6498129.76,22.48%,75.00%,0.0,4,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000039,Indian Info Limited,30,Low Risk,43532913,3389103.23,7.79%,33.33%,0.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000040,Tech Info Limited,26,Low Risk,47347843,965727.08,2.04%,16.67%,2.4,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000041,Tata Auto Limited,37,Low Risk,10045493,2800157.99,27.87%,16.67%,14.0,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000042,Reliance Auto Limited,54,Medium Risk,41622142,6631130.51,15.93%,62.50%,34.7,8,5,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000043,Infosys Auto Limited,47,Low Risk,1942466,542226.03,27.91%,0.00%,23.0,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000044,Bharti Auto Limited,36,Low Risk,583357,89146.72,15.28%,20.00%,16.0,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000045,HDFC Auto Limited,47,Low Risk,3516107,579023.92,16.47%,25.00%,14.8,8,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000046,Wipro Auto Limited,35,Low Risk,27551816,1055877.20,3.83%,25.00%,15.7,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000047,Mahindra Auto Limited,51,Medium Risk,760650,255242.83,33.56%,12.50%,23.2,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000048,Birla Auto Limited,44,Low Risk,829351,112978.60,13.62%,25.00%,55.5,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000049,Adani Auto Limited,63,Medium Risk,207312,99319.31,47.91%,33.33%,34.8,6,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000050,JSW Auto Limited,50,Medium Risk,668406,75666.24,11.32%,12.50%,35.6,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000051,Godrej Auto Limited,44,Low Risk,319254,121647.75,38.10%,25.00%,0.0,4,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000052,L&T Auto Limited,35,Low Risk,959657,0.00,0.00%,0.00%,33.5,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000053,ICICI Auto Limited,45,Low Risk,30902343,0.00,0.00%,0.00%,31.3,3,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000054,SBI Auto Limited,37,Low Risk,24178582,1866491.80,7.72%,0.00%,36.0,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000055,TCS Auto Limited,26,Low Risk,9981456,114916.21,1.15%,0.00%,12.5,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000056,Bajaj Auto Limited,57,Medium Risk,2577281,1076588.02,41.77%,37.50%,18.7,8,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000057,HCL Auto Limited,44,Low Risk,890469,156077.79,17.53%,20.00%,73.7,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000058,Hindustan Auto Limited,39,Low Risk,39943631,657531.51,1.65%,14.29%,35.2,7,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000059,Indian Auto Limited,64,Medium Risk,979290,96287.09,9.83%,66.67%,32.0,3,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000060,Tech Auto Limited,50,Medium Risk,968577,387061.43,39.96%,28.57%,73.5,7,2,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000061,Tata Fin Limited,55,Medium Risk,135056,67354.09,49.87%,0.00%,98.0,3,0,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000062,Reliance Fin Limited,20,Minimal Risk,174963602,946691.68,0.54%,0.00%,0.0,3,0,No,No,Standard Terms / Potential Credit Increase,2025-04-15
CUST000063,Infosys Fin Limited,59,Medium Risk,507066,137524.03,27.12%,33.33%,35.3,6,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000064,Bharti Fin Limited,33,Low Risk,678459,169657.74,25.01%,33.33%,0.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000065,HDFC Fin Limited,37,Low Risk,159584,19193.83,12.03%,0.00%,42.0,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000066,Wipro Fin Limited,56,Medium Risk,1298719,500444.49,38.53%,12.50%,34.7,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000067,Mahindra Fin Limited,49,Low Risk,7898264,872149.01,11.04%,12.50%,28.2,8,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000068,Birla Fin Limited,35,Low Risk,3992813,623977.27,15.63%,0.00%,4.7,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000069,Adani Fin Limited,56,Medium Risk,10332287,5386309.85,52.13%,42.86%,51.8,7,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
